port,packet_count,byte_count,packet_fraction,byte_fraction
3003,2266,132348,3.377810310228444e-06,9.101313925108954e-07
3052,2266,132348,3.377810310228444e-06,9.101313925108954e-07
3168,2266,132348,3.377810310228444e-06,9.101313925108954e-07
3546,2266,132348,3.377810310228444e-06,9.101313925108954e-07
3703,2266,132348,3.377810310228444e-06,9.101313925108954e-07
3809,2266,132348,3.377810310228444e-06,9.101313925108954e-07
3998,2266,132348,3.377810310228444e-06,9.101313925108954e-07
4662,2266,132348,3.377810310228444e-06,9.101313925108954e-07
5001,2266,132348,3.377810310228444e-06,9.101313925108954e-07
5030,2266,132348,3.377810310228444e-06,9.101313925108954e-07
5061,2266,132348,3.377810310228444e-06,9.101313925108954e-07
5269,2266,132348,3.377810310228444e-06,9.101313925108954e-07
5431,2266,132348,3.377810310228444e-06,9.101313925108954e-07
21,2265,133056,3.3763196613713264e-06,9.150001704742776e-07
5999,2265,132300,3.3763196613713264e-06,9.0980130586931e-07
6566,2265,132300,3.3763196613713264e-06,9.0980130586931e-07
6667,2265,132300,3.3763196613713264e-06,9.0980130586931e-07
7019,2265,132300,3.3763196613713264e-06,9.0980130586931e-07
7778,2265,132300,3.3763196613713264e-06,9.0980130586931e-07
2869,2265,132312,3.3763196613713264e-06,9.098838275297064e-07
3269,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3283,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3300,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3301,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3351,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3370,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3389,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3551,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3659,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3737,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
